AGENT.ID,TotalIn,TotalOut,Movements,NetBalance
277,0,102018966,22,-102018966
278,0,3941622,2,-3941622
279,0,8960891,9,-8960891
280,0,3107135,2,-3107135
281,0,283146544,16,-283146544
282,0,12942446,1,-12942446
283,0,77746558,13,-77746558
284,0,48988335,12,-48988335
285,0,53767545,11,-53767545
286,0,50682889,7,-50682889
287,0,4255903193,53,-4255903193
288,0,1695101572,41,-1695101572
289,240855,36132466566,682,-36132225711
290,0,2450498230,112,-2450498230
291,0,289035221,88,-289035221
292,0,2084479,1,-2084479
293,1101442252,30866179,46,1070576073
294,0,1111912796,5,-1111912796
295,0,10694607,4,-10694607
296,0,55333680,4,-55333680
297,0,3413613,2,-3413613
298,4285834,1857045576,139,-1852759742
299,0,1365393006,13,-1365393006
300,0,17578806,4,-17578806
301,0,90280660,5,-90280660
302,0,8842529,4,-8842529
303,0,166622489,16,-166622489
304,0,258738,1,-258738
305,0,10818125,3,-10818125
306,0,6337514328,30,-6337514328
307,0,6788150734,15,-6788150734
308,0,1526991,2,-1526991
309,0,151034112,10,-151034112
310,0,3315025576,25,-3315025576
311,0,77216532,5,-77216532
312,0,182746206,7,-182746206
313,0,9603389,2,-9603389
314,0,49916091,12,-49916091
315,0,27004041,2,-27004041
316,0,230434750,32,-230434750
317,133672868,4466038569,46,-4332365701
318,0,0,1,0
319,0,1903147,1,-1903147
320,0,192823132,13,-192823132
321,0,14361490,3,-14361490
322,0,3929801,4,-3929801
323,0,16402457,1,-16402457
324,0,25175137,7,-25175137
325,0,1604029070,49,-1604029070
326,0,22413951,6,-22413951
327,0,48301314,11,-48301314
328,265299503,416490094,37,-151190591
329,0,14541208,1,-14541208
330,0,1436221172,51,-1436221172
331,0,42852805,22,-42852805
332,0,43419315,4,-43419315
333,0,26907680,5,-26907680
334,0,218455524,78,-218455524
335,0,2454168031,78,-2454168031
336,0,114236123,20,-114236123
337,0,1242699,1,-1242699
338,0,3422747,1,-3422747
339,0,7732606,2,-7732606
340,0,6694094,5,-6694094
341,61473860,50808048,8,10665812
342,0,9403448097,100,-9403448097
343,1887060211,3912378841,170,-2025318630
344,0,15837751,6,-15837751
345,0,4578572,1,-4578572
346,0,5884444,1,-5884444
347,0,12135157,2,-12135157
348,0,954992,1,-954992
349,0,11514451,1,-11514451
350,0,169077175,41,-169077175
351,0,833154,1,-833154
352,0,23098206,9,-23098206
353,0,11355007,2,-11355007
354,0,3796516859,74,-3796516859
355,0,0,1,0
356,0,10999059,2,-10999059
357,0,61572253,8,-61572253
358,616633729,0,3,616633729
359,326303051,22691814,13,303611237
360,0,2183336333,20,-2183336333
361,0,2647699902,43,-2647699902
362,514033615,5138498,20,508895117
363,0,1250289358,18,-1250289358
364,0,18511398,12,-18511398
365,0,798829957,2,-798829957
366,0,13167514,3,-13167514
367,0,2717924,1,-2717924
368,4247932772,7838713948,422,-3590781176
369,0,169225311,35,-169225311
370,0,13589037,7,-13589037
371,0,46932992,10,-46932992
372,0,3570078,3,-3570078
373,0,37035084,2,-37035084
374,0,33924307,7,-33924307
375,0,70894380,19,-70894380
376,0,55665730,13,-55665730
377,0,17384141,1,-17384141
378,0,1164189,1,-1164189
379,0,1580124,3,-1580124
380,0,22654605,1,-22654605
381,0,78919080,21,-78919080
382,0,281964,1,-281964
383,0,3245924094,13,-3245924094
384,0,18031792,5,-18031792
385,0,9265445688,29,-9265445688
386,0,141746042,11,-141746042
387,0,4347199134,24,-4347199134
388,0,8533153,3,-8533153
389,0,19833926,2,-19833926
390,0,11968054,1,-11968054
391,0,8147081179,28,-8147081179
392,0,15832564,3,-15832564
393,0,865526752,67,-865526752
394,0,82288555,30,-82288555
395,0,7999688962,28,-7999688962
396,0,10507044,3,-10507044
397,0,9053125,1,-9053125
398,0,21262630,5,-21262630
399,0,49290896,9,-49290896
400,0,3998391,2,-3998391
401,0,1585153,1,-1585153
402,62002514,12617767,15,49384747
403,0,3096397,2,-3096397
404,41282502,0,3,41282502
405,0,89167283,20,-89167283
406,0,54466670,14,-54466670
407,0,1229062,1,-1229062
408,0,984593195,23,-984593195
409,0,2278756,1,-2278756
410,0,8856273331,33,-8856273331
411,0,314937,1,-314937
412,0,10253303,4,-10253303
413,0,241174,1,-241174
414,0,4584676,2,-4584676
415,0,33843623,5,-33843623
416,0,748311011,249,-748311011
417,0,10913232,2,-10913232
418,0,24910524,11,-24910524
419,0,50420544,24,-50420544
420,0,435869,1,-435869
421,0,39072574,16,-39072574
422,0,16194302,1,-16194302
423,0,1574876208,54,-1574876208
424,475776048,254188681,85,221587367
425,0,82145221,5,-82145221
426,1773890045,457010277,178,1316879768
427,0,7113840,4,-7113840
428,0,7084931,2,-7084931
429,1571470260,86782329,92,1484687931
430,0,6644505,2,-6644505
431,1772878967,4611415866,264,-2838536899
432,0,4416856,1,-4416856
433,81222760,66736172,18,14486588
434,0,162752933,56,-162752933
435,0,59622628,5,-59622628
436,0,66563177,7,-66563177
437,0,12497780,2,-12497780
438,0,67038875,18,-67038875
439,0,8879617,5,-8879617
440,0,5885399,3,-5885399
441,0,9258477,1,-9258477
442,0,11238820,3,-11238820
443,0,75009590,3,-75009590
444,0,12611868,4,-12611868
445,0,6228548,4,-6228548
446,0,4604482,1,-4604482
447,0,3135049,1,-3135049
448,0,12961483,3,-12961483
449,0,11174801,2,-11174801
450,0,9706817,2,-9706817
451,0,14952614,2,-14952614
452,431253483,204743048,37,226510435
453,19291521,48494464,7,-29202943
454,0,3772401,2,-3772401
455,0,47114549,24,-47114549
456,0,13883404,5,-13883404
457,0,5680036433,66,-5680036433
458,0,21509116,4,-21509116
459,0,9457305,3,-9457305
460,0,11499549,4,-11499549
461,0,355336,1,-355336
462,0,3179844714,17,-3179844714
463,0,37718107,17,-37718107
464,0,45958623,13,-45958623
465,0,16151613,7,-16151613
466,0,1148233,1,-1148233
467,0,7262516,5,-7262516
468,0,13548185,4,-13548185
469,0,17400327,1,-17400327
470,0,45166333,12,-45166333
471,0,34728455,7,-34728455
472,0,23687311,10,-23687311
473,0,69423405,3,-69423405
474,0,910908043,59,-910908043
475,0,2959236,2,-2959236
476,0,3156347795,63,-3156347795
477,0,7549796,2,-7549796
478,0,822465,2,-822465
479,0,117509098,36,-117509098
480,0,23485646,7,-23485646
481,0,3486524376,39,-3486524376
482,0,9572763,4,-9572763
483,0,9866599,2,-9866599
484,0,1051075,1,-1051075
485,0,3429855,3,-3429855
486,0,96789781,21,-96789781
487,0,29112257,2,-29112257
488,0,8398947284,30,-8398947284
489,0,21114605,2,-21114605
490,0,13197567,10,-13197567
491,0,13987239,3,-13987239
492,1694075550,794483742,81,899591808
493,0,20203798,9,-20203798
494,0,22139511,3,-22139511
495,138223,17436982793,305,-17436844570
496,0,2226298952,31,-2226298952
497,0,23958482,5,-23958482
498,0,30288192,8,-30288192
499,0,5421729,3,-5421729
500,0,6592077,3,-6592077
501,0,2216604,4,-2216604
502,0,69003805,12,-69003805
503,0,87205,1,-87205
504,0,161223666,2,-161223666
505,0,149333718,6,-149333718
506,0,9761302,3,-9761302
507,0,2735357,1,-2735357
508,0,4705952,1,-4705952
509,0,34556803,9,-34556803
510,0,6517853586,25,-6517853586
511,0,5295245,4,-5295245
512,0,1363273804,2,-1363273804
513,0,161543258,37,-161543258
514,0,46557693,13,-46557693
515,2758044746,2149423385,164,608621361
516,0,7799650810,60,-7799650810
517,0,25751363,5,-25751363
518,59029369,8786310,9,50243059
519,0,28020238,10,-28020238
520,0,26661213,5,-26661213
521,0,6591667,5,-6591667
522,0,82641042,1,-82641042
