Competidor,Producto,Fecha,Valor,Tipo,Experimento
Competidor1,Product1,2020-10-11,2067769.0,Real,Prophet Base
Competidor1,Product1,2020-10-18,2090085.0,Real,Prophet Base
Competidor1,Product1,2020-10-25,2274366.0,Real,Prophet Base
Competidor1,Product1,2020-11-01,2050561.0,Real,Prophet Base
Competidor1,Product1,2020-11-08,1941696.0,Real,Prophet Base
Competidor1,Product1,2020-11-15,2014919.0,Real,Prophet Base
Competidor1,Product1,2020-11-22,2338296.0,Real,Prophet Base
Competidor1,Product1,2020-11-29,2338296.0,Real,Prophet Base
Competidor1,Product1,2020-12-06,2298017.0,Real,Prophet Base
Competidor1,Product1,2020-12-13,2941173.0,Real,Prophet Base
Competidor1,Product1,2020-12-20,2512006.0,Real,Prophet Base
Competidor1,Product1,2020-12-27,2357601.0,Real,Prophet Base
Competidor1,Product1,2021-01-03,1731056.0,Real,Prophet Base
Competidor1,Product1,2021-01-10,1821141.0,Real,Prophet Base
Competidor1,Product1,2021-01-17,2030890.0,Real,Prophet Base
Competidor1,Product1,2021-01-24,2316383.0,Real,Prophet Base
Competidor1,Product1,2021-01-31,2316383.0,Real,Prophet Base
Competidor1,Product1,2021-02-07,2095297.0,Real,Prophet Base
Competidor1,Product1,2021-02-14,2143536.0,Real,Prophet Base
Competidor1,Product1,2021-02-21,2388093.0,Real,Prophet Base
Competidor1,Product1,2021-02-28,1671139.0,Real,Prophet Base
Competidor1,Product1,2021-03-07,1790539.0,Real,Prophet Base
Competidor1,Product1,2021-03-14,1969638.0,Real,Prophet Base
Competidor1,Product1,2021-03-21,2396427.0,Real,Prophet Base
Competidor1,Product1,2021-03-28,1810606.0,Real,Prophet Base
Competidor1,Product1,2021-04-04,1985323.0,Real,Prophet Base
Competidor1,Product1,2021-04-11,1952488.0,Real,Prophet Base
Competidor1,Product1,2021-04-18,2142586.0,Real,Prophet Base
Competidor1,Product1,2021-04-25,2189597.0,Real,Prophet Base
Competidor1,Product1,2021-05-02,2189597.0,Real,Prophet Base
Competidor1,Product1,2021-05-09,2215747.0,Real,Prophet Base
Competidor1,Product1,2021-05-16,2131680.0,Real,Prophet Base
Competidor1,Product1,2021-05-23,2302016.0,Real,Prophet Base
Competidor1,Product1,2021-05-30,2042078.0,Real,Prophet Base
Competidor1,Product1,2021-06-06,2145057.0,Real,Prophet Base
Competidor1,Product1,2021-06-13,2528302.0,Real,Prophet Base
Competidor1,Product1,2021-06-20,2651919.0,Real,Prophet Base
Competidor1,Product1,2021-06-27,2235495.0,Real,Prophet Base
Competidor1,Product1,2021-07-04,1989705.0,Real,Prophet Base
Competidor1,Product1,2021-07-11,2009254.0,Real,Prophet Base
Competidor1,Product1,2021-07-18,2106822.0,Real,Prophet Base
Competidor1,Product1,2021-07-25,2253936.0,Real,Prophet Base
Competidor1,Product1,2021-08-01,2253936.0,Real,Prophet Base
Competidor1,Product1,2021-08-08,2117970.0,Real,Prophet Base
Competidor1,Product1,2021-08-15,2139386.0,Real,Prophet Base
Competidor1,Product1,2021-08-22,2351777.0,Real,Prophet Base
Competidor1,Product1,2021-08-29,1972124.0,Real,Prophet Base
Competidor1,Product1,2021-09-05,1961880.0,Real,Prophet Base
Competidor1,Product1,2021-09-12,2067022.1,Real,Prophet Base
Competidor1,Product1,2021-09-19,2440135.0,Real,Prophet Base
Competidor1,Product1,2021-09-26,1906501.0,Real,Prophet Base
Competidor1,Product1,2021-10-03,1906501.0,Real,Prophet Base
Competidor1,Product1,2021-10-10,1976222.2,Real,Prophet Base
Competidor1,Product1,2021-10-17,1995880.0,Real,Prophet Base
Competidor1,Product1,2021-10-24,2043958.2,Real,Prophet Base
Competidor1,Product1,2021-10-31,1968132.1,Real,Prophet Base
Competidor1,Product1,2021-11-07,2259683.0,Real,Prophet Base
Competidor1,Product1,2021-11-14,1961990.0,Real,Prophet Base
Competidor1,Product1,2021-11-21,2106292.0,Real,Prophet Base
Competidor1,Product1,2021-11-28,1607038.0,Real,Prophet Base
Competidor1,Product1,2021-12-05,1785639.0,Real,Prophet Base
Competidor1,Product1,2021-12-12,1767723.0,Real,Prophet Base
Competidor1,Product1,2021-12-19,2104243.0,Real,Prophet Base
Competidor1,Product1,2021-12-26,1630316.0,Real,Prophet Base
Competidor1,Product1,2022-01-02,1630316.0,Real,Prophet Base
Competidor1,Product1,2022-01-09,1968826.0,Real,Prophet Base
Competidor1,Product1,2022-01-16,1842275.0,Real,Prophet Base
Competidor1,Product1,2022-01-23,1572706.0,Real,Prophet Base
Competidor1,Product1,2022-01-30,1579806.0,Real,Prophet Base
Competidor1,Product1,2022-02-06,1642545.0,Real,Prophet Base
Competidor1,Product1,2022-02-13,1722727.0,Real,Prophet Base
Competidor1,Product1,2022-02-20,2273485.0,Real,Prophet Base
Competidor1,Product1,2022-02-27,1752093.0,Real,Prophet Base
Competidor1,Product1,2022-03-06,2211879.0,Real,Prophet Base
Competidor1,Product1,2022-03-13,1749475.0,Real,Prophet Base
Competidor1,Product1,2022-03-20,2051238.0,Real,Prophet Base
Competidor1,Product1,2022-03-27,1637610.0,Real,Prophet Base
Competidor1,Product1,2022-04-03,1710449.0,Real,Prophet Base
