timestamp,cash,altcoin,value,exposure
1735272000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735286400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735300800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735315200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735329600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735344000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735358400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735372800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735387200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735401600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735416000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735430400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735444800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735459200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735473600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735488000000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735502400000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735516800000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735531200000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735545600000,1001775.1818578038,0.0,1001775.1818578038,0.0
1735560000000,926585.693364489,-401.09512406222126,1001775.1818578038,75133.13863933529
1735574400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735588800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735603200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735617600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735632000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735646400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735660800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735675200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735689600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735704000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735718400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735732800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735747200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735761600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735776000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735790400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735804800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735819200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735833600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735848000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735862400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735876800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735891200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735905600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735920000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735934400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735948800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735963200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735977600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1735992000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736006400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736020800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736035200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736049600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736064000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736078400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736092800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736107200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736121600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736136000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736150400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736164800000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736179200000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736193600000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736208000000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736222400000,1005225.5435010183,0.0,1005225.5435010183,0.0
1736236800000,981082.0363972109,-112.70397572654602,1005225.5435010183,24125.41304402444
1736251200000,980354.255754653,-116.03540849372281,1004479.8528606604,24107.51646865585
1736265600000,979956.8396936059,-117.80281463790666,1004072.6567637578,24097.74376233019
1736280000000,1003755.172582675,0.0,1003755.172582675,0.0
1736294400000,1003755.172582675,0.0,1003755.172582675,0.0
1736308800000,1003755.172582675,0.0,1003755.172582675,0.0
1736323200000,1003755.172582675,0.0,1003755.172582675,0.0
1736337600000,1003755.172582675,0.0,1003755.172582675,0.0
1736352000000,1003755.172582675,0.0,1003755.172582675,0.0
1736366400000,1003755.172582675,0.0,1003755.172582675,0.0
1736380800000,1003755.172582675,0.0,1003755.172582675,0.0
1736395200000,1003755.172582675,0.0,1003755.172582675,0.0
1736409600000,1003755.172582675,0.0,1003755.172582675,0.0
1736424000000,1003755.172582675,0.0,1003755.172582675,0.0
1736438400000,1003755.172582675,0.0,1003755.172582675,0.0
1736452800000,1003755.172582675,0.0,1003755.172582675,0.0
1736467200000,1003755.172582675,0.0,1003755.172582675,0.0
1736481600000,1003755.172582675,0.0,1003755.172582675,0.0
1736496000000,1003755.172582675,0.0,1003755.172582675,0.0
1736510400000,1003755.172582675,0.0,1003755.172582675,0.0
1736524800000,1003755.172582675,0.0,1003755.172582675,0.0
1736539200000,1003755.172582675,0.0,1003755.172582675,0.0
1736553600000,1003755.172582675,0.0,1003755.172582675,0.0
1736568000000,1003755.172582675,0.0,1003755.172582675,0.0
1736582400000,1003755.172582675,0.0,1003755.172582675,0.0
1736596800000,1003755.172582675,0.0,1003755.172582675,0.0
1736611200000,1003755.172582675,0.0,1003755.172582675,0.0
1736625600000,1003755.172582675,0.0,1003755.172582675,0.0
1736640000000,1003755.172582675,0.0,1003755.172582675,0.0
1736654400000,1003755.172582675,0.0,1003755.172582675,0.0
1736668800000,1003755.172582675,0.0,1003755.172582675,0.0
1736683200000,1003755.172582675,0.0,1003755.172582675,0.0
1736697600000,1003755.172582675,0.0,1003755.172582675,0.0
1736712000000,1003755.172582675,0.0,1003755.172582675,0.0
1736726400000,979646.9808475843,-130.1957744256834,1003755.172582675,24090.124141984197
1736740800000,1003384.6852085432,0.0,1003384.6852085432,0.0
