timestamp,first,last,max,min,daily_return
2025-02-17,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-18,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-19,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-20,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-21,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-22,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-23,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-24,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-25,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-26,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-27,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-02-28,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-01,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-02,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-03,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-04,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-05,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-06,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-07,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-08,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-09,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-10,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-11,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-12,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-13,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-14,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-15,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-16,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-17,1002853.7861762047,1002853.7861762047,1002853.7861762047,1002853.7861762047,0.0
2025-03-18,1002853.7861762047,1003308.7952410512,1003308.7952410512,1002853.7861762047,0.0004537142613596501
2025-03-19,1003308.7952410512,1003308.7952410512,1003308.7952410512,1003308.7952410512,0.0
2025-03-20,1003308.7952410512,1003308.7952410512,1003308.7952410512,1003308.7952410512,0.0
